GoodWe library discovery timed out; trying directed UDP broadcast.
Discovery response advertises DTLS; using dtls=True.
Found inverter at 192.168.100.151:8899
label                           |                                                                                         value | sensor
Meter Reactive Power L2         |                                                                                         0 var | meter_reactive_power2
Meter Reactive Power L3         |                                                                                         0 var | meter_reactive_power3
Meter Reactive Power Total      |                                                                                         0 var | meter_reactive_power_total
Meter Apparent Power L1         |                                                                                          0 VA | meter_apparent_power1
Meter Apparent Power L2         |                                                                                          0 VA | meter_apparent_power2
Meter Apparent Power L3         |                                                                                          0 VA | meter_apparent_power3
Meter Apparent Power Total      |                                                                                          0 VA | meter_apparent_power_total
Meter Type                      |                                                                                           255 | meter_type
Meter Software Version          |                                                                                             0 | meter_sw_version
Meter 2 Active Power            |                                                                                           0 W | meter2_active_power
Meter 2 Total Energy (export)   |                                                                                       0.0 kWh | meter2_e_total_exp
Meter 2 Total Energy (import)   |                                                                                       0.0 kWh | meter2_e_total_imp
Meter 2 Communication Status    |                                                                                             0 | meter2_comm_status
Meter L1 Voltage                |                                                                                         0.0 V | meter_voltage1
Meter L2 Voltage                |                                                                                         0.0 V | meter_voltage2
Meter L3 Voltage                |                                                                                         0.0 V | meter_voltage3
Meter L1 Current                |                                                                                         0.0 A | meter_current1
Meter L2 Current                |                                                                                         0.0 A | meter_current2
Meter L3 Current                |                                                                                         0.0 A | meter_current3
Meter Total Energy (export) L1  |                                                                                     52.79 kWh | meter_e_total_exp1
Meter Total Energy (export) L2  |                                                                                     53.35 kWh | meter_e_total_exp2
Meter Total Energy (export) L3  |                                                                                     96.99 kWh | meter_e_total_exp3
Meter Total Energy (import) L1  |                                                                                       8.5 kWh | meter_e_total_imp1
Meter Total Energy (import) L2  |                                                                                      3.81 kWh | meter_e_total_imp2
Meter Total Energy (import) L3  |                                                                                       9.2 kWh | meter_e_total_imp3
Battery BMS                     |                                                                                             1 | battery_bms
Battery Index                   |                                                                                           412 | battery_index
Battery Status                  |                                                                                             1 | battery_status
Battery Temperature             |                                                                                        47.2 C | battery_temperature
Battery Charge Limit            |                                                                                          12 A | battery_charge_limit
Battery Discharge Limit         |                                                                                          15 A | battery_discharge_limit
Battery Error L                 |                                                                                             0 | battery_error_l
Battery State of Charge         |                                                                                          73 % | battery_soc
Battery State of Health         |                                                                                         100 % | battery_soh
Battery Modules                 |                                                                                             1 | battery_modules
Battery Warning L               |                                                                                             0 | battery_warning_l
Battery Protocol                |                                                                                           294 | battery_protocol
Battery Error H                 |                                                                                             0 | battery_error_h
Battery Error                   |                                                                                               | battery_error
Battery Warning H               |                                                                                             0 | battery_warning_h
Battery Warning                 |                                                                                               | battery_warning
Battery Software Version        |                                                                                           771 | battery_sw_version
Battery Hardware Version        |                                                                                             0 | battery_hw_version
Battery Max Cell Temperature ID |                                                                                          1553 | battery_max_cell_temp_id
Battery Min Cell Temperature ID |                                                                                           801 | battery_min_cell_temp_id
Battery Max Cell Voltage ID     |                                                                                          4129 | battery_max_cell_voltage_id
Battery Min Cell Voltage ID     |                                                                                          1553 | battery_min_cell_voltage_id
Battery Max Cell Temperature    |                                                                                        33.0 C | battery_max_cell_temp
Battery Min Cell Temperature    |                                                                                        28.9 C | battery_min_cell_temp
Battery Max Cell Voltage        |                                                                                       3.313 V | battery_max_cell_voltage
Battery Min Cell Voltage        |                                                                          3.3080000000000003 V | battery_min_cell_voltage
PV Power Total                  |                                                                                           0 W | ppv_total
PV Channel                      |                                                                                             3 | pv_channel
PV5 Voltage                     |                                                                                           0 V | vpv5
PV5 Current                     |                                                                                           0 A | ipv5
PV6 Voltage                     |                                                                                           0 V | vpv6
PV6 Current                     |                                                                                           0 A | ipv6
PV7 Voltage                     |                                                                                           0 V | vpv7
PV7 Current                     |                                                                                           0 A | ipv7
PV8 Voltage                     |                                                                                           0 V | vpv8
PV8 Current                     |                                                                                           0 A | ipv8
PV9 Voltage                     |                                                                                           0 V | vpv9
PV9 Current                     |                                                                                           0 A | ipv9
PV10 Voltage                    |                                                                                           0 V | vpv10
PV10 Current                    |                                                                                           0 A | ipv10
PV11 Voltage                    |                                                                                           0 V | vpv11
PV11 Current                    |                                                                                           0 A | ipv11
PV12 Voltage                    |                                                                                           0 V | vpv12
PV12 Current                    |                                                                                           0 A | ipv12
PV13 Voltage                    |                                                                                           0 V | vpv13
PV13 Current                    |                                                                                           0 A | ipv13
PV14 Voltage                    |                                                                                           0 V | vpv14
PV14 Current                    |                                                                                           0 A | ipv14
PV15 Voltage                    |                                                                                           0 V | vpv15
PV15 Current                    |                                                                                           0 A | ipv15
PV16 Voltage                    |                                                                                           0 V | vpv16
PV16 Current                    |                                                                                           0 A | ipv16
MPPT1 Power                     |                                                                                           0 W | pmppt1
MPPT2 Power                     |                                                                                           0 W | pmppt2
MPPT3 Power                     |                                                                                           0 W | pmppt3
MPPT4 Power                     |                                                                                        None W | pmppt4
MPPT5 Power                     |                                                                                        None W | pmppt5
MPPT6 Power                     |                                                                                        None W | pmppt6
MPPT7 Power                     |                                                                                        None W | pmppt7
MPPT8 Power                     |                                                                                        None W | pmppt8
MPPT1 Current                   |                                                                                         0.0 A | imppt1
MPPT2 Current                   |                                                                                         0.0 A | imppt2
MPPT3 Current                   |                                                                                         0.0 A | imppt3
MPPT4 Current                   |                                                                                           0 A | imppt4
MPPT5 Current                   |                                                                                           0 A | imppt5
MPPT6 Current                   |                                                                                           0 A | imppt6
MPPT7 Current                   |                                                                                           0 A | imppt7
MPPT8 Current                   |                                                                                           0 A | imppt8
Reactive Power L1               |                                                                                         0 var | reactive_power1
Reactive Power L2               |                                                                                         0 var | reactive_power2
Reactive Power L3               |                                                                                         0 var | reactive_power3
Apparent Power L1               |                                                                                          0 VA | apparent_power1
Apparent Power L2               |                                                                                          0 VA | apparent_power2
Apparent Power L3               |                                                                                          0 VA | apparent_power3
